sequence,case,region,metric,on,off,on_minus_off
20200709-subject-01/20200709_151632,natural,geometry_focus_proxy,zero_xyz_mm,77.60191421508789,77.60191421508789,0.0
20200709-subject-01/20200709_152420,natural,geometry_focus_proxy,zero_xyz_mm,68.46443665027618,68.46443665027618,0.0
20200709-subject-01/20200709_152757,natural,geometry_focus_proxy,zero_xyz_mm,23.0707336548836,23.0707336548836,0.0
20200709-subject-01/20200709_153148,natural,geometry_focus_proxy,zero_xyz_mm,55.42393718046301,55.42393718046301,0.0
20200709-subject-01/20200709_153548,natural,geometry_focus_proxy,zero_xyz_mm,38.55291595458984,38.55291595458984,0.0
20200813-subject-02/20200813_145612,natural,geometry_focus_proxy,zero_xyz_mm,62.01936513727362,62.01936513727362,0.0
20200813-subject-02/20200813_145920,natural,geometry_focus_proxy,zero_xyz_mm,107.36362130301339,107.36362130301339,0.0
20200813-subject-02/20200813_150228,natural,geometry_focus_proxy,zero_xyz_mm,65.79698874733664,65.79698874733664,0.0
20200813-subject-02/20200813_150535,natural,geometry_focus_proxy,zero_xyz_mm,39.82147614852242,39.82147614852242,0.0
20200813-subject-02/20200813_150823,natural,geometry_focus_proxy,zero_xyz_mm,37.9333438873291,37.9333438873291,0.0
20200813-subject-02/20200813_151117,natural,geometry_focus_proxy,zero_xyz_mm,39.04691157621496,39.04691157621496,0.0
20200813-subject-02/20200813_151925,natural,geometry_focus_proxy,zero_xyz_mm,55.24485702514649,55.24485702514649,0.0
20200813-subject-02/20200813_152215,natural,geometry_focus_proxy,zero_xyz_mm,38.2926513671875,38.2926513671875,0.0
20200813-subject-02/20200813_152513,natural,geometry_focus_proxy,zero_xyz_mm,50.36765670776367,50.36765670776367,0.0
20200813-subject-02/20200813_152842,natural,geometry_focus_proxy,zero_xyz_mm,53.16755294799805,53.16755294799805,0.0
20200813-subject-02/20200813_153152,natural,geometry_focus_proxy,zero_xyz_mm,64.04229384202223,64.04229384202223,0.0
20200813-subject-02/20200813_153453,natural,geometry_focus_proxy,zero_xyz_mm,69.22647612435478,69.22647612435478,0.0
20200813-subject-02/20200813_153802,natural,geometry_focus_proxy,zero_xyz_mm,68.40634489059448,68.40634489059448,0.0
