population,metric,contrast,delta,lower95,upper95,lower99,upper99
initial_good,center_mm,spatial_without_latent,0.005341738414374575,-0.05688510372572773,0.04674389472696739,-0.06788066404155522,0.05716230993482448
initial_good,center_mm,remove_latent_without_spatial,-0.06709525586420106,-0.15561435119107375,0.020227302999468028,-0.1729631675315795,0.024709702268941185
initial_good,center_mm,remove_latent_with_spatial,0.00761160776448655,-0.03241409003959195,0.028183627667582322,-0.04052765179247081,0.032977868409359075
initial_good,center_mm,interaction,0.07470686362868761,-0.02193855713196058,0.15161948710055584,-0.028316308006113254,0.16846224039290175
initial_good,center_mm,s0_l1_vs_residual,-0.35023328566315826,-0.9950923452629921,0.06167406257713083,-1.0871919081498882,0.08576999296165846
initial_good,center_mm,s0_l1_vs_fp,-28.785111221777505,-44.79243698686652,-15.76968751006341,-49.7364755578416,-12.10281727090382
initial_good,center_mm,s0_l0_vs_residual,-0.4173285415273593,-1.1283793488296892,0.0466248624493378,-1.2265619415116928,0.07253822609584393
initial_good,center_mm,s0_l0_vs_fp,-28.852206477641708,-44.88993780485533,-15.81915473506708,-49.853478324368034,-12.137990312897118
initial_good,center_mm,s1_l1_vs_residual,-0.4195984108774713,-1.1190810086304903,0.033715241973629184,-1.2199921093960853,0.059285151197134275
initial_good,center_mm,s1_l1_vs_fp,-28.85447634699182,-44.86653203318038,-15.819848520513649,-49.836059875562114,-12.169148763849313
initial_good,center_mm,s1_l0_vs_residual,-0.41198680311298475,-1.1319793415992967,0.039526475608962726,-1.232215777577505,0.06296955762955464
initial_good,center_mm,s1_l0_vs_fp,-28.846864739227335,-44.864177124622,-15.830302496857037,-49.831807471068004,-12.18434519887364
initial_bad,add_01,spatial_with_latent,-0.45331829376559085,-0.8029434500409375,0.008540290559968675,-0.9219244342390446,0.10807647664084068
initial_bad,add_01,spatial_without_latent,-0.009254671986809626,-0.5804717781139506,0.5349235685951629,-0.7114738875644889,0.6690780834781815
initial_bad,add_01,remove_latent_without_spatial,-0.14838991698761106,-0.5177545374878176,0.23990096770163952,-0.5966829418242728,0.33642476347604533
initial_bad,add_01,remove_latent_with_spatial,0.29567370479117017,-0.049667866902971626,0.4467369749839241,-0.09410018199731951,0.49580490439590685
initial_bad,add_01,interaction,0.4440636217787812,-0.07609315709850434,0.793999210881687,-0.2097814539684646,0.8929551158669133
initial_bad,add_01,s0_l1_vs_residual,0.9742150648290675,-0.055292759818920685,1.9674997080976975,-0.26034270969213097,2.2286412586950965
initial_bad,add_01,s0_l1_vs_fp,2.261418394223618,-1.5570820666666172,6.636708999516651,-2.6054231697170565,7.998916807065774
initial_bad,add_01,s0_l0_vs_residual,0.8258251478414564,-0.214182176950632,1.7884999096505234,-0.4574859422038829,2.070065863693462
initial_bad,add_01,s0_l0_vs_fp,2.113028477236007,-1.9092164122573145,6.691123775032413,-2.9927188389579533,8.103581331267558
initial_bad,add_01,s1_l1_vs_residual,0.5208967710634766,-0.46011059031697277,1.5801034905165479,-0.7004523723479861,1.871079593015091
initial_bad,add_01,s1_l1_vs_fp,1.8081001004580273,-1.9779023646347889,6.295331194646455,-3.0855125139694954,7.676315404857874
initial_bad,add_01,s1_l0_vs_residual,0.8165704758546468,-0.1938103534230647,1.7572536689719314,-0.4119790847572249,2.002273005358063
