method,stream_id,object_id,physical_sequence,start,end,length,post_complete,censor_reason,reference_failed,stable_offset
s1_l1,20200709-subject-01/20200709_145132/839512060362,9,20200709-subject-01/20200709_145132,1,31,31,True,,False,3
s1_l0,20200709-subject-01/20200709_145132/839512060362,9,20200709-subject-01/20200709_145132,1,31,31,True,,False,3
fp,20200709-subject-01/20200709_145132/839512060362,9,20200709-subject-01/20200709_145132,1,31,31,True,,False,3
residual,20200709-subject-01/20200709_145132/840412060917,9,20200709-subject-01/20200709_145132,12,73,62,False,stream_end,False,
s0_l1,20200709-subject-01/20200709_145132/840412060917,9,20200709-subject-01/20200709_145132,12,73,62,False,stream_end,False,
s0_l0,20200709-subject-01/20200709_145132/840412060917,9,20200709-subject-01/20200709_145132,12,73,62,False,stream_end,False,
s1_l1,20200709-subject-01/20200709_145132/840412060917,9,20200709-subject-01/20200709_145132,12,73,62,False,stream_end,False,
s1_l0,20200709-subject-01/20200709_145132/840412060917,9,20200709-subject-01/20200709_145132,12,73,62,False,stream_end,False,
fp,20200709-subject-01/20200709_145132/840412060917,9,20200709-subject-01/20200709_145132,12,73,62,False,stream_end,False,
residual,20200709-subject-01/20200709_145132/932122060861,9,20200709-subject-01/20200709_145132,22,34,13,False,next_occlusion,False,
s0_l1,20200709-subject-01/20200709_145132/932122060861,9,20200709-subject-01/20200709_145132,22,34,13,False,next_occlusion,False,
s0_l0,20200709-subject-01/20200709_145132/932122060861,9,20200709-subject-01/20200709_145132,22,34,13,False,next_occlusion,False,
s1_l1,20200709-subject-01/20200709_145132/932122060861,9,20200709-subject-01/20200709_145132,22,34,13,False,next_occlusion,False,
s1_l0,20200709-subject-01/20200709_145132/932122060861,9,20200709-subject-01/20200709_145132,22,34,13,False,next_occlusion,False,
fp,20200709-subject-01/20200709_145132/932122060861,9,20200709-subject-01/20200709_145132,22,34,13,False,next_occlusion,False,
residual,20200709-subject-01/20200709_145132/932122060861,9,20200709-subject-01/20200709_145132,36,42,7,False,next_occlusion,False,3
s0_l1,20200709-subject-01/20200709_145132/932122060861,9,20200709-subject-01/20200709_145132,36,42,7,False,next_occlusion,False,3
s0_l0,20200709-subject-01/20200709_145132/932122060861,9,20200709-subject-01/20200709_145132,36,42,7,False,next_occlusion,False,3
s1_l1,20200709-subject-01/20200709_145132/932122060861,9,20200709-subject-01/20200709_145132,36,42,7,False,next_occlusion,False,3
s1_l0,20200709-subject-01/20200709_145132/932122060861,9,20200709-subject-01/20200709_145132,36,42,7,False,next_occlusion,False,3
fp,20200709-subject-01/20200709_145132/932122060861,9,20200709-subject-01/20200709_145132,36,42,7,False,next_occlusion,False,3
residual,20200709-subject-01/20200709_145132/932122060861,9,20200709-subject-01/20200709_145132,47,54,8,False,next_occlusion,False,
s0_l1,20200709-subject-01/20200709_145132/932122060861,9,20200709-subject-01/20200709_145132,47,54,8,False,next_occlusion,False,
s0_l0,20200709-subject-01/20200709_145132/932122060861,9,20200709-subject-01/20200709_145132,47,54,8,False,next_occlusion,False,
s1_l1,20200709-subject-01/20200709_145132/932122060861,9,20200709-subject-01/20200709_145132,47,54,8,False,next_occlusion,False,
s1_l0,20200709-subject-01/20200709_145132/932122060861,9,20200709-subject-01/20200709_145132,47,54,8,False,next_occlusion,False,
fp,20200709-subject-01/20200709_145132/932122060861,9,20200709-subject-01/20200709_145132,47,54,8,False,next_occlusion,False,
residual,20200709-subject-01/20200709_145132/932122060861,9,20200709-subject-01/20200709_145132,56,63,8,True,,False,3
s0_l1,20200709-subject-01/20200709_145132/932122060861,9,20200709-subject-01/20200709_145132,56,63,8,True,,False,3
s0_l0,20200709-subject-01/20200709_145132/932122060861,9,20200709-subject-01/20200709_145132,56,63,8,True,,False,3
s1_l1,20200709-subject-01/20200709_145132/932122060861,9,20200709-subject-01/20200709_145132,56,63,8,True,,False,3
s1_l0,20200709-subject-01/20200709_145132/932122060861,9,20200709-subject-01/20200709_145132,56,63,8,True,,False,3
fp,20200709-subject-01/20200709_145132/932122060861,9,20200709-subject-01/20200709_145132,56,63,8,True,,False,3
residual,20200709-subject-01/20200709_145743/836212060125,10,20200709-subject-01/20200709_145743,30,36,7,True,,False,3
s0_l1,20200709-subject-01/20200709_145743/836212060125,10,20200709-subject-01/20200709_145743,30,36,7,True,,False,3
s0_l0,20200709-subject-01/20200709_145743/836212060125,10,20200709-subject-01/20200709_145743,30,36,7,True,,False,3
s1_l1,20200709-subject-01/20200709_145743/836212060125,10,20200709-subject-01/20200709_145743,30,36,7,True,,False,3
