population,metric,physical_sequence,object_id,method,frames,sum
all,add_01,20200813-subject-02/20200813_150823,5,fp,576,47400.0
all,add_01,20200813-subject-02/20200813_151117,6,residual,576,13100.0
all,add_01,20200813-subject-02/20200813_151117,6,s0_l1,576,16100.0
all,add_01,20200813-subject-02/20200813_151117,6,s0_l0,576,15500.0
all,add_01,20200813-subject-02/20200813_151117,6,s1_l1,576,15800.0
all,add_01,20200813-subject-02/20200813_151117,6,s1_l0,576,15000.0
all,add_01,20200813-subject-02/20200813_151117,6,fp,576,6100.0
all,add_01,20200813-subject-02/20200813_151925,7,residual,576,51400.0
all,add_01,20200813-subject-02/20200813_151925,7,s0_l1,576,51300.0
all,add_01,20200813-subject-02/20200813_151925,7,s0_l0,576,51100.0
all,add_01,20200813-subject-02/20200813_151925,7,s1_l1,576,51100.0
all,add_01,20200813-subject-02/20200813_151925,7,s1_l0,576,51000.0
all,add_01,20200813-subject-02/20200813_151925,7,fp,576,35100.0
all,add_01,20200813-subject-02/20200813_152215,8,residual,576,49700.0
all,add_01,20200813-subject-02/20200813_152215,8,s0_l1,576,50500.0
all,add_01,20200813-subject-02/20200813_152215,8,s0_l0,576,50500.0
all,add_01,20200813-subject-02/20200813_152215,8,s1_l1,576,50600.0
all,add_01,20200813-subject-02/20200813_152215,8,s1_l0,576,50500.0
all,add_01,20200813-subject-02/20200813_152215,8,fp,576,36700.0
all,add_01,20200813-subject-02/20200813_152513,9,residual,592,49100.0
all,add_01,20200813-subject-02/20200813_152513,9,s0_l1,592,48500.0
all,add_01,20200813-subject-02/20200813_152513,9,s0_l0,592,48700.0
all,add_01,20200813-subject-02/20200813_152513,9,s1_l1,592,48700.0
all,add_01,20200813-subject-02/20200813_152513,9,s1_l0,592,48700.0
all,add_01,20200813-subject-02/20200813_152513,9,fp,592,33200.0
all,add_01,20200813-subject-02/20200813_152842,10,residual,560,39800.0
all,add_01,20200813-subject-02/20200813_152842,10,s0_l1,560,40000.0
all,add_01,20200813-subject-02/20200813_152842,10,s0_l0,560,39900.0
all,add_01,20200813-subject-02/20200813_152842,10,s1_l1,560,40300.0
all,add_01,20200813-subject-02/20200813_152842,10,s1_l0,560,39800.0
all,add_01,20200813-subject-02/20200813_152842,10,fp,560,36100.0
all,add_01,20200813-subject-02/20200813_153152,11,residual,576,46500.0
all,add_01,20200813-subject-02/20200813_153152,11,s0_l1,576,46400.0
all,add_01,20200813-subject-02/20200813_153152,11,s0_l0,576,46400.0
all,add_01,20200813-subject-02/20200813_153152,11,s1_l1,576,46500.0
all,add_01,20200813-subject-02/20200813_153152,11,s1_l0,576,47000.0
all,add_01,20200813-subject-02/20200813_153152,11,fp,576,52200.0
all,add_01,20200813-subject-02/20200813_153453,12,residual,576,46300.0
all,add_01,20200813-subject-02/20200813_153453,12,s0_l1,576,47500.0
all,add_01,20200813-subject-02/20200813_153453,12,s0_l0,576,47400.0
all,add_01,20200813-subject-02/20200813_153453,12,s1_l1,576,47400.0
all,add_01,20200813-subject-02/20200813_153453,12,s1_l0,576,47300.0
all,add_01,20200813-subject-02/20200813_153453,12,fp,576,52700.0
